name,code,Longitude,Latitude
Goat Mtn. Lookout (P) California,CGML,"122бу 42' 50""","39бу 15' 37"""
Gordon California,CGOR,"120бу 53' 32""","40бу 45' 22"""
Grey Butte (Portable) California,CGRB,"122бу 11' 42""","41бу 20' 42"""
Greenville Portable #2 California,CGRN,"120бу 57' 00""","40бу 08' 00"""
Grizzly Flat California,CGZF,"120бу 33' 41""","38бу 37' 11"""
Happy Camp Micro California,CHAP,"123бу 22' 36""","41бу 47' 36"""
Hatcreek Micro #1 California,CHAT,"121бу 22' 00""","40бу 42' 10"""
Hawkeye California,CHAW,"122бу 55' 01""","38бу 46' 54"""
Hayfork California,CHAY,"123бу 09' 54""","40бу 33' 00"""
Humbolt Bay California,CHBB,"124бу 13' 10""","40бу 46' 01"""
Humbug Summit California,CHBG,"121бу 22' 60""","40бу 06' 31"""
Hidden Valley California,CHDV,"120бу 37' 37""","40бу 26' 31"""
Hell Hole California,CHEL,"120бу 25' 18""","39бу 04' 18"""
High Glade Lookout California,CHGL,"122бу 48' 30""","39бу 12' 30"""
Hopland California,CHLD,"123бу 04' 50""","39бу 01' 51"""
Horse Lake California,CHOL,"120бу 28' 40""","40бу 37' 24"""
Homewood California,CHOM,"120бу 10' 16""","39бу 05' 01"""
Hoopa California,CHOO,"123бу 40' 17""","41бу 02' 52"""
Hat Mountain California,CHTM,"121бу 25' 21""","40бу 30' 06"""
Indian Well California,CIND,"121бу 30' 23""","41бу 42' 42"""
Jarbo Gap California,CJAR,"121бу 29' 20""","39бу 44' 09"""
Jordan Creek California,CJOR,"121бу 22' 00""","39бу 47' 00"""
Juanita Lake California,CJUA,"122бу 00' 20""","41бу 47' 10"""
Juniper Creek California,CJUN,"120бу 28' 21""","41бу 19' 56"""
Klamath Basin NWR California,CKLB,"121бу 33' 53""","41бу 56' 38"""
Klamath California,CKLM,"124бу 03' 03""","41бу 32' 37"""
Kneeland California,CKNE,"123бу 55' 37""","40бу 43' 12"""
Knoxville Creek California,CKNO,"122бу 25' 02""","38бу 51' 43"""
Konocti California,CKON,"122бу 42' 23""","38бу 54' 43"""
Sugarloaf (ENF) California,CKYB,"120бу 18' 39""","38бу 47' 02"""
Lassen Lodge California,CLAS,"121бу 42' 49""","40бу 20' 39"""
Laufman California,CLAU,"120бу 21' 12""","40бу 08' 30"""
Laytonville California,CLAY,"123бу 29' 06""","39бу 42' 08"""
Ladder Butte California,CLDR,"121бу 17' 48""","40бу 48' 26"""
Lincoln California,CLIN,"121бу 16' 06""","38бу 52' 57"""
Lower Klamath California,CLKL,"121бу 42' 01""","41бу 59' 57"""
LN2 -Portable California,CLN2,"121бу 12' 00""","40бу 17' 00"""
LN3 - Portable California,CLN3,"121бу 12' 00""","40бу 17' 00"""
LNF4 - Portable California,CLN4,"120бу 37' 00""","40бу 24' 00"""
LN5 - Portable California,CLN5,"120бу 53' 46""","40бу 45' 31"""
LNF6 - Portable California,CLN6,"121бу 35' 05""","40бу 56' 11"""
Lowden California,CLOW,"122бу 49' 53""","40бу 41' 22"""
Lyons Valley California,CLYO,"123бу 04' 25""","39бу 07' 33"""
Mad River California,CMAD,"123бу 31' 26""","40бу 27' 48"""
