"Year","Month","NAME","avg_WBGT_max_monthly","max_WBGT_max_monthly","duration_heat_wave_monthly","avg_heat_waves_WBGT_max_monthly","death","total","elderly","elder_proportion","death_rate","death_elder_rate"
2011,1,"Stanislaus",7.65095313526451,13.2788628856,NA,NA,78,512469,53891,0.105159532,0.000152204328456941,0.00144736597947709
2011,1,"Tehama",8.52179239681161,19.2230420344,NA,NA,854,62985,10007,0.158879098,0.0135587838374216,0.0853402618167283
2011,1,"Trinity",7.51606857797779,17.3397430144,NA,NA,144,13711,2606,0.19006637,0.0105025162278463,0.0552570990023024
2011,1,"Tulare",7.88411425254248,17.8322564344,NA,NA,60,436234,41008,0.094004594,0.000137540861097484,0.00146312914553258
2011,1,"Tuolumne",7.35576053404516,15.6696918016,NA,NA,0,55736,11138,0.199834936,0,0
2011,1,"Ventura",13.5013452839462,24.6267239096,NA,NA,34,815745,94184,0.115457649,4.16796915702824e-05,0.000360995498173787
2011,1,"Yolo",9.76117674564516,18.1661075534,NA,NA,0,198889,19336,0.097220057,0,0
2011,1,"Yuba",8.90527041075484,17.2507683296,NA,NA,0,71817,7074,0.098500355,0,0
2011,2,"Alameda",5.89558103298095,17.6052250336,NA,NA,0,1494876,164461,0.110016483,0,0
2011,2,"Alpine",2.01002649884286,12.8047968686,NA,NA,0,1167,133,0.113967438,0,0
2011,2,"Amador",5.93541430468214,16.2405658496,NA,NA,0,38244,7652,0.200083673,0,0
2011,2,"Butte",7.14964950235572,20.162160875,NA,NA,367,219309,33446,0.152506281,0.00167343793460369,0.0109729115589308
2011,2,"Calaveras",6.13966780952915,17.6052250336,NA,NA,277,45794,9501,0.207472595,0.00604882735729572,0.0291548258078097
2011,2,"Colusa",9.83187194286428,19.1602703854,NA,NA,157,21297,2535,0.119030849,0.00737193031882425,0.0619329388560158
2011,2,"Contra Costa",3.60558327005725,33.764224,8,33.23440975,11,1037817,127537,0.122889681,1.05991711448165e-05,8.62494805429013e-05
2011,2,"Del Norte",2.24308197388036,14.0650325624,NA,NA,63,28561,4010,0.140401246,0.00220580511886839,0.01571072319202
2011,2,"El Dorado",5.09226786100017,18.7523484544,NA,NA,134,179878,25543,0.142001801,0.000744949354562537,0.00524605567082958
2011,2,"Fresno",4.88301377343788,19.1812092896,NA,NA,15,920623,91866,0.099786775,1.62933144186057e-05,0.000163281301025407
2011,2,"Glenn",6.99631748824641,18.9217632256,NA,NA,0,28027,3645,0.130053163,0,0
2011,2,"Humboldt",5.74029992620286,17.1762808414,NA,NA,0,133585,17445,0.130591009,0,0
2011,2,"Imperial",16.0482050439661,22.4068440206,NA,NA,1318,171343,17876,0.104328744,0.00769217300969401,0.0737301409711345
2011,2,"Inyo",5.29036406361881,33.7640988766,2,33.7575583083,205,18457,3470,0.188004551,0.0111068971122068,0.0590778097982709
2011,2,"Kern",5.771491915535,19.4383678336,NA,NA,164,829254,74161,0.089430983,0.000197768114473973,0.00221140491633069
2011,2,"Kings",10.4701808097929,16.8546022094,NA,NA,0,152335,11868,0.077907244,0,0
2011,2,"Lake",6.32925546366936,18.7098445496,NA,NA,36,64392,11171,0.173484284,0.000559075661572866,0.00322263002416973
2011,2,"Lassen",-0.345035227281548,13.83766904,NA,NA,0,35001,3359,0.095968687,0,0
2011,2,"Los Angeles",10.1276462930762,23.6982682336,NA,NA,97,9787747,1048994,0.107174205,9.91035015514806e-06,9.24695470136149e-05
2011,2,"Madera",6.9909314719,19.034321515,NA,NA,295,149611,16834,0.112518465,0.00197178014985529,0.0175240584531306
2011,2,"Marin",7.68805559407859,17.3543912894,NA,NA,391,250666,40982,0.163492456,0.00155984457405472,0.00954077399834074
2011,2,"Mariposa",7.24693220743163,21.8455197184,NA,NA,0,18290,3747,0.204866047,0,0
2011,2,"Mendocino",8.63363847472285,17.7884702944,NA,NA,608,87525,13456,0.153738932,0.00694658668951728,0.0451843043995244
2011,2,"Merced",11.0943916514143,17.539057315,NA,NA,0,253606,23419,0.09234403,0,0
2011,2,"Modoc",-1.62771350758169,12.2404479086,NA,NA,29,9587,1854,0.193386878,0.00302492959215604,0.0156418554476807
2011,2,"Mono",1.35250308626714,15.3498091384,NA,NA,68,14016,1262,0.090039954,0.00485159817351598,0.0538827258320127
2011,2,"Monterey",10.8428314434847,20.9132217856,NA,NA,73,411385,43504,0.105750088,0.000177449347934417,0.00167800662008091
2011,2,"Napa",7.09759043938571,17.7446240696,NA,NA,732,135377,20336,0.150217541,0.00540712233244938,0.0359952793076318
2011,2,"Nevada",6.35855096606667,19.1812092896,NA,NA,163,98392,18770,0.190767542,0.00165663875111798,0.00868407032498668
