"Year","County","total","elderly","elder_proportion"
2013,"Los Angeles",9893481,1111022,0.112298391233581
2013,"Madera",151435,17938,0.118453461881335
2013,"Marin",254643,44626,0.175249270547394
2013,"Mariposa",18061,3969,0.219755273794364
2013,"Mendocino",87497,14549,0.166279986742403
2013,"Merced",258707,25186,0.0973533765997828
2013,"Modoc",9468,1968,0.207858048162231
2013,"Mono",14217,1484,0.10438207779419
2013,"Monterey",420569,46270,0.11001761898761
2013,"Napa",137837,21474,0.155792711681189
2013,"Nevada",98509,20197,0.205026951852115
2013,"Orange",3051771,367377,0.120381575157507
2013,"Placer",355924,57161,0.16059889189827
2013,"Plumas",19586,4335,0.221331563361585
2013,"Riverside",2228528,271530,0.121842758987098
2013,"Sacramento",1435207,166835,0.116244555663399
2013,"San Benito",56115,5761,0.102664171790074
2013,"San Bernardino",2056915,191278,0.0929926613399192
2013,"San Diego",3138265,367946,0.117245038261587
2013,"San Francisco",817501,113130,0.138385151822444
2013,"San Joaquin",693177,74663,0.107711306058914
2013,"San Luis Obispo",272094,42984,0.157974817526296
2013,"San Mateo",729543,100506,0.137765697155617
2013,"Santa Barbara",427288,56178,0.13147572597405
2013,"Santa Clara",1812208,206532,0.11396705013994
2013,"Santa Cruz",264808,31004,0.117081054953023
2013,"Shasta",177966,31335,0.176072957755976
2013,"Sierra",3127,648,0.207227374480333
2013,"Siskiyou",44503,9148,0.205559175785902
2013,"Solano",417258,49772,0.119283512838579
2013,"Sonoma",487469,71560,0.146799078505505
2013,"Stanislaus",518321,57209,0.110373687348188
2013,"Sutter",94787,12497,0.131842974247523
2013,"Tehama",63241,10376,0.164070776869436
2013,"Trinity",13638,2910,0.213374395072591
2013,"Tulare",446644,43302,0.0969496959547201
2013,"Tuolumne",54728,11664,0.213126735857331
2013,"Ventura",829017,101351,0.122254429040659
2013,"Yolo",202288,20804,0.102843470695246
2013,"Yuba",72574,7556,0.104114421142558
2014,"Alameda",1559308,184186,0.118120345691807
2014,"Alpine",1202,225,0.187188019966722
2014,"Amador",37159,8463,0.227751015904626
2014,"Butte",221578,35710,0.1611622092446
2014,"Calaveras",44921,10463,0.232920015137686
2014,"Colusa",21424,2679,0.125046676624347
2014,"Contra Costa",1081232,144424,0.133573553131983
2014,"Del Norte",28066,4152,0.147937005629587
2014,"El Dorado",181465,29566,0.162929490535365
2014,"Fresno",948844,100564,0.105985810101555
2014,"Glenn",28019,3899,0.139155573004033
2014,"Humboldt",134876,19076,0.141433613096474
2014,"Imperial",177026,19821,0.111966603775717
2014,"Inyo",18439,3659,0.198438093172081
2014,"Kern",857730,80797,0.0941986405978571
2014,"Kings",151390,12841,0.0848206618667019
2014,"Lake",64209,12161,0.189397125013627
2014,"Lassen",33356,3628,0.108766039093416
2014,"Los Angeles",9974203,1149893,0.11528670511318
2014,"Madera",152452,18425,0.120857712591504
2014,"Marin",256802,46638,0.181610735118885
2014,"Mariposa",17946,4207,0.234425498718377
2014,"Mendocino",87612,15118,0.17255627083048
2014,"Merced",261609,26115,0.0998245473206197
2014,"Modoc",9335,1977,0.21178361006963
2014,"Mono",14193,1602,0.11287254280279
2014,"Monterey",424927,47895,0.11271347784443
2014,"Napa",139253,22271,0.159931922472047
2014,"Nevada",98606,21101,0.213993063302436
2014,"Orange",3086331,382162,0.123824048684344
2014,"Placer",361518,60005,0.165980670395388
2014,"Plumas",19286,4467,0.231618790832728
2014,"Riverside",2266899,282688,0.124702512110156
2014,"Sacramento",1450277,173676,0.119753674642844
2014,"San Benito",56888,5952,0.104626634791169
2014,"San Bernardino",2078586,199762,0.0961047558292031
2014,"San Diego",3183143,382179,0.120063409026864
2014,"San Francisco",829072,116073,0.140003522010151
2014,"San Joaquin",701050,77687,0.110815205762784
2014,"San Luis Obispo",274184,44746,0.163196977212383
